observation_date,PRTGDPDEFQISMEI_NBD20200101
1995-01-01,57.16273
1996-01-01,58.52597
1997-01-01,60.80028
1998-01-01,63.12459
1999-01-01,65.25647
2000-01-01,67.48787
2001-01-01,69.99392
2002-01-01,72.93848
2003-01-01,75.43233
2004-01-01,77.24201
2005-01-01,79.81753
2006-01-01,82.35450
2007-01-01,84.79882
2008-01-01,86.27830
2009-01-01,87.22177
2010-01-01,87.78327
2011-01-01,87.54852
2012-01-01,87.21919
2013-01-01,89.17008
2014-01-01,89.80024
2015-01-01,91.61272
2016-01-01,93.18476
2017-01-01,94.59189
2018-01-01,96.30811
2019-01-01,97.99368
2020-01-01,100.00000
2021-01-01,101.85622
2022-01-01,106.94108
2023-01-01,
